filename,filepath,resolution,phash,manual_review,product_name,brands,categories,image_url,source,licence
00184849.jpg,data\raw\packaging\00184849.jpg,3456x3456,cc3138e7343c3ce3,,Kerala Nendran Banana Chips,Noice,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps;en:banana-crisps,https://images.openfoodfacts.org/images/products/000/000/018/4849/front_en.3.full.jpg,open_food_facts,CC-BY-SA
00291238.jpg,data\raw\packaging\00291238.jpg,2219x3769,c02a3ec57b85d5d2,,Salted Potato Wafers,Noice,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:potato-crisps-with-salt,https://images.openfoodfacts.org/images/products/000/000/029/1238/front_en.3.full.jpg,open_food_facts,CC-BY-SA
06231512.jpg,data\raw\packaging\06231512.jpg,3072x4096,c7d0370fe95081ee,,India's magic masala,Lay's,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps;en:flavoured-potato-crisps,https://images.openfoodfacts.org/images/products/000/000/623/1512/front_en.4.full.jpg,open_food_facts,CC-BY-SA
0793591862453.jpg,data\raw\packaging\0793591862453.jpg,2933x3862,fbd465b700183a2f,,Kerala Banana Chips,Byond Snack,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps;en:banana-crisps,https://images.openfoodfacts.org/images/products/079/359/186/2453/front_en.3.full.jpg,open_food_facts,CC-BY-SA
0793591862460.jpg,data\raw\packaging\0793591862460.jpg,1800x2878,baa371b60d9928d5,,Kerala Banana Chips,Beyond Snacks,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps;en:banana-crisps,https://images.openfoodfacts.org/images/products/079/359/186/2460/front_en.3.full.jpg,open_food_facts,CC-BY-SA
0793591862477.jpg,data\raw\packaging\0793591862477.jpg,3072x4096,9db26aa56164748f,,kerala chips,beyond snacks,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps;en:banana-crisps,https://images.openfoodfacts.org/images/products/079/359/186/2477/front_en.4.full.jpg,open_food_facts,CC-BY-SA
0794712831693.jpg,data\raw\packaging\0794712831693.jpg,3000x4000,d6d0e552974d1fc0,,Banana chips,Beyond snack,en:snacks;en:salty-snacks;en:appetizers;en:chips-and-fries;en:crisps,https://images.openfoodfacts.org/images/products/079/471/283/1693/front_en.3.full.jpg,open_food_facts,CC-BY-SA
0796548217719.jpg,data\raw\packaging\0796548217719.jpg,3072x4096,907069372d2d2f4f,,,,en:chips-and-fries,https://images.openfoodfacts.org/images/products/079/654/821/7719/front_en.7.full.jpg,open_food_facts,CC-BY-SA
0825925535082.jpg,data\raw\packaging\0825925535082.jpg,1848x4000,9e5741ea6d21626e,,,,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/082/592/553/5082/front_en.3.full.jpg,open_food_facts,CC-BY-SA
0921381982870.jpg,data\raw\packaging\0921381982870.jpg,3072x4080,c2d664c33fc90e36,,,Lay's,en:plant-based-foods-and-beverages;en:plant-based-foods;en:snacks;en:cereals-and-potatoes;en:salty-snacks;en:appetizers;en:chips-and-fries;en:potatoes-and-their-products;en:crisps;en:salty-snacks-made-from-potato;en:potato-crisps,https://images.openfoodfacts.org/images/products/092/138/198/2870/front_en.3.full.jpg,open_food_facts,CC-BY-SA
