tradition,filename,filepath,commons_title,kept,width,height,licence,artist,credit,description,descriptionurl,source
tamil_nadu,A_Image_of_Illustrations_on_the_roof_of_The_Nandi_Mandam_of_The_Big_Temple.JPG,data\style_references\tamil_nadu\A_Image_of_Illustrations_on_the_roof_of_The_Nandi_Mandam_of_The_Big_Temple.JPG,"File:""A Image of Illustrations on the roof of The Nandi Mandam of The Big Temple"".JPG",,2256,1504,CC BY-SA 3.0,Thamizhpparithi Maari,Own work,This is a photo of ASI monument number,https://commons.wikimedia.org/wiki/File:%22A_Image_of_Illustrations_on_the_roof_of_The_Nandi_Mandam_of_The_Big_Temple%22.JPG,wikimedia_commons
tamil_nadu,A_view_of_Illustrations_on_the_roof_of_The_Nandi_Mandam_of_The_Big_Temple.JPG,data\style_references\tamil_nadu\A_view_of_Illustrations_on_the_roof_of_The_Nandi_Mandam_of_The_Big_Temple.JPG,"File:""A view of Illustrations on the roof of The Nandi Mandam of The Big Temple"".JPG",,1504,2256,CC BY-SA 3.0,Thamizhpparithi Maari,Own work,This is a photo of ASI monument number,https://commons.wikimedia.org/wiki/File:%22A_view_of_Illustrations_on_the_roof_of_The_Nandi_Mandam_of_The_Big_Temple%22.JPG,wikimedia_commons
tamil_nadu,Amazing_roof_paintings_and_arches_in_Thanjavur_Palace.JPG,data\style_references\tamil_nadu\Amazing_roof_paintings_and_arches_in_Thanjavur_Palace.JPG,"File:""Amazing roof paintings and arches in Thanjavur Palace"".JPG",no,1504,2256,CC BY-SA 3.0,Thamizhpparithi Maari,Own work,This is a photo of ASI monument number,https://commons.wikimedia.org/wiki/File:%22Amazing_roof_paintings_and_arches_in_Thanjavur_Palace%22.JPG,wikimedia_commons
tamil_nadu,Amazing_roof_paintings_and_pillars_Thanjavur_Palace.JPG,data\style_references\tamil_nadu\Amazing_roof_paintings_and_pillars_Thanjavur_Palace.JPG,"File:""Amazing roof paintings and pillars Thanjavur Palace"".JPG",no,2256,1504,CC BY-SA 3.0,Thamizhpparithi Maari,Own work,This is a photo of ASI monument number,https://commons.wikimedia.org/wiki/File:%22Amazing_roof_paintings_and_pillars_Thanjavur_Palace%22.JPG,wikimedia_commons
tamil_nadu,Amazing_work_in_Thanjavur_Palace_wall.JPG,data\style_references\tamil_nadu\Amazing_work_in_Thanjavur_Palace_wall.JPG,"File:""Amazing work in Thanjavur Palace wall"".JPG",no,2256,1504,CC BY-SA 3.0,Thamizhpparithi Maari,Own work,This is a photo of ASI monument number,https://commons.wikimedia.org/wiki/File:%22Amazing_work_in_Thanjavur_Palace_wall%22.JPG,wikimedia_commons
tamil_nadu,1010_CE_Brihadishwara_Shiva_Temple_linga_and_painting_built_by_Rajaraja_I_Thanjavur_Tamil_Nadu_India.jpg,data\style_references\tamil_nadu\1010_CE_Brihadishwara_Shiva_Temple_linga_and_painting_built_by_Rajaraja_I_Thanjavur_Tamil_Nadu_India.jpg,"File:1010 CE Brihadishwara Shiva Temple, linga and painting, built by Rajaraja I, Thanjavur Tamil Nadu India.jpg",,5858,3776,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (74)","This is a Shiva temple from the Shaiva Siddhanta tradition of Hinduism, and a part of a UNESCO world heritage site. The circumambulatory passage (the pradakshinapata) houses three major sculptures of Siva. The walls of the pradakshinapata once contained narrative wall paintings. However, in the 17th","https://commons.wikimedia.org/wiki/File:1010_CE_Brihadishwara_Shiva_Temple,_linga_and_painting,_built_by_Rajaraja_I,_Thanjavur_Tamil_Nadu_India.jpg",wikimedia_commons
tamil_nadu,1010_CE_Brihadishwara_Shiva_Temple_painting_built_by_Rajaraja_I_Thanjavur_Tamil_Nadu_India_2.jpg,data\style_references\tamil_nadu\1010_CE_Brihadishwara_Shiva_Temple_painting_built_by_Rajaraja_I_Thanjavur_Tamil_Nadu_India_2.jpg,"File:1010 CE Brihadishwara Shiva Temple, painting, built by Rajaraja I, Thanjavur Tamil Nadu India (2).jpg",,5912,3862,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (71)","This is a Shiva temple from the Shaiva Siddhanta tradition of Hinduism, and a part of a UNESCO world heritage site. The circumambulatory passage (the pradakshinapata) houses three major sculptures of Siva. The walls of the pradakshinapata once contained narrative wall paintings. However, in the 17th","https://commons.wikimedia.org/wiki/File:1010_CE_Brihadishwara_Shiva_Temple,_painting,_built_by_Rajaraja_I,_Thanjavur_Tamil_Nadu_India_(2).jpg",wikimedia_commons
tamil_nadu,1010_CE_Brihadishwara_Shiva_Temple_painting_built_by_Rajaraja_I_Thanjavur_Tamil_Nadu_India.jpg,data\style_references\tamil_nadu\1010_CE_Brihadishwara_Shiva_Temple_painting_built_by_Rajaraja_I_Thanjavur_Tamil_Nadu_India.jpg,"File:1010 CE Brihadishwara Shiva Temple, painting, built by Rajaraja I, Thanjavur Tamil Nadu India.jpg",,5876,3808,CC BY 2.0,"Richard Mortel from Riyadh, Saudi Arabia","Brihadishwara Temple, Dedicated to Shiva, built by Rajaraja I, completed in 1010, Thanjavur (53)","This is a Shiva temple from the Shaiva Siddhanta tradition of Hinduism, and a part of a UNESCO world heritage site. The circumambulatory passage (the pradakshinapata) houses three major sculptures of Siva. The walls of the pradakshinapata once contained narrative wall paintings. However, in the 17th","https://commons.wikimedia.org/wiki/File:1010_CE_Brihadishwara_Shiva_Temple,_painting,_built_by_Rajaraja_I,_Thanjavur_Tamil_Nadu_India.jpg",wikimedia_commons
tamil_nadu,A_Mughal_warrior_and_his_wife.jpg,data\style_references\tamil_nadu\A_Mughal_warrior_and_his_wife.jpg,File:A Mughal warrior and his wife.jpg,,1571,2214,Public domain,Unknown (production),https://collections.vam.ac.uk/item/O392924/painting-a-mughal-warrior-and-his/,This is a page from the Boileau Album. The album contains 42 Company paintings probably made by an artist from Thanjavur (Tanjore) living in Madras. Painting in Madras at this early period appears to have been linked mainly to individual patronage. John Peter Boileau commissioned this album. Boileau,https://commons.wikimedia.org/wiki/File:A_Mughal_warrior_and_his_wife.jpg,wikimedia_commons
tamil_nadu,A_bazaarwalla_and_a_customer_6125146422.jpg,data\style_references\tamil_nadu\A_bazaarwalla_and_a_customer_6125146422.jpg,File:A bazaarwalla and a customer (6125146422).jpg,,500,737,Public domain,Unknown author Unknown author,Flickr,A bazaarwalla and a customer. Tanjore. Opaque watercolor and gold on paper. Creation Date: ca. 1825 Display Dimensions: 16 5/8 in. x 12 1/16 in. (42.2 cm x 30.6 cm) Credit Line: Edwin Binney 3rd Collection Accession Number: 1990.1429 Collection: The San Diego Museum of Art,https://commons.wikimedia.org/wiki/File:A_bazaarwalla_and_a_customer_(6125146422).jpg,wikimedia_commons
