path,filename,spike,model,variant,tradition,seed,lora_scale,ip_scale,cn_scale,config_str,clip_image_mean,clip_image_std,clip_text_sim,dinov2_style_mean,dinov2_style_std,lpips_mean,lpips_std
outputs\spike\ip_adapter_v2\baseline_p1_s1337.png,baseline_p1_s1337.png,v2,stabilityai/stable-diffusion-xl-base-1.0,baseline,,1337,,,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | baseline,0.5255013108253479,0.06027618423104286,0.3101440370082855,,,0.8087997217973073,0.0369059907492441
outputs\spike\ip_adapter_v2\baseline_p1_s42.png,baseline_p1_s42.png,v2,stabilityai/stable-diffusion-xl-base-1.0,baseline,,42,,,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | baseline,0.5323967933654785,0.04349043592810631,0.302351713180542,,,0.7685485740502676,0.036546968765137376
outputs\spike\ip_adapter_v2\baseline_p2_s1337.png,baseline_p2_s1337.png,v2,stabilityai/stable-diffusion-xl-base-1.0,baseline,,1337,,,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | baseline,0.5905627012252808,0.05256139487028122,0.2715906500816345,,,0.7622586925824483,0.024272514323795947
outputs\spike\ip_adapter_v2\baseline_p2_s42.png,baseline_p2_s42.png,v2,stabilityai/stable-diffusion-xl-base-1.0,baseline,,42,,,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | baseline,0.5913451910018921,0.05266900733113289,0.3096407651901245,,,0.8418743232885997,0.02281055638439563
outputs\spike\ip_adapter_v2\baseline_p3_s1337.png,baseline_p3_s1337.png,v2,stabilityai/stable-diffusion-xl-base-1.0,baseline,,1337,,,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | baseline,0.5297134518623352,0.06328645348548889,0.2714298665523529,,,0.8065594275792439,0.031190258639475995
outputs\spike\ip_adapter_v2\baseline_p3_s42.png,baseline_p3_s42.png,v2,stabilityai/stable-diffusion-xl-base-1.0,baseline,,42,,,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | baseline,0.5076038241386414,0.0563427209854126,0.3048367202281952,,,0.8006965120633444,0.02795350935963295
outputs\spike\ip_adapter_v2\plus_kalighat_p1_s1337_sc05.png,plus_kalighat_p1_s1337_sc05.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,1337,,0.5,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.5,0.5504303574562073,0.05667494982481003,0.32689428329467773,0.28181442618370056,0.07487250119447708,0.6505315621693929,0.06734352692441589
outputs\spike\ip_adapter_v2\plus_kalighat_p1_s1337_sc07.png,plus_kalighat_p1_s1337_sc07.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,1337,,0.7,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.7,0.5197474360466003,0.06012798473238945,0.312082976102829,0.38458317518234253,0.10062409192323685,0.6408513327439626,0.06204378983722973
outputs\spike\ip_adapter_v2\plus_kalighat_p1_s42_sc05.png,plus_kalighat_p1_s42_sc05.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,42,,0.5,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.5,0.5529372096061707,0.06139956787228584,0.35306480526924133,0.3453739285469055,0.09667930006980896,0.6614454984664917,0.07440308312052683
outputs\spike\ip_adapter_v2\plus_kalighat_p1_s42_sc07.png,plus_kalighat_p1_s42_sc07.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,42,,0.7,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.7,0.46344369649887085,0.058812517672777176,0.28876227140426636,0.39014631509780884,0.09903078526258469,0.6491779804229736,0.06498412352885365
outputs\spike\ip_adapter_v2\plus_kalighat_p2_s1337_sc05.png,plus_kalighat_p2_s1337_sc05.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,1337,,0.5,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.5,0.5615876913070679,0.05993371456861496,0.33004558086395264,0.28579214215278625,0.07197807729244232,0.6635414063930511,0.06634650135014036
outputs\spike\ip_adapter_v2\plus_kalighat_p2_s1337_sc07.png,plus_kalighat_p2_s1337_sc07.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,1337,,0.7,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.7,0.5291775465011597,0.063201405107975,0.3121788799762726,0.42028728127479553,0.10753528773784637,0.646947463353475,0.06063153243467311
outputs\spike\ip_adapter_v2\plus_kalighat_p2_s42_sc05.png,plus_kalighat_p2_s42_sc05.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,42,,0.5,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.5,0.5629135370254517,0.05427570641040802,0.37892138957977295,0.31688886880874634,0.08423805236816406,0.6499013562997182,0.07590389888380276
outputs\spike\ip_adapter_v2\plus_kalighat_p2_s42_sc07.png,plus_kalighat_p2_s42_sc07.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,42,,0.7,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.7,0.4893542528152466,0.04816089943051338,0.33331620693206787,0.3498774468898773,0.08622059971094131,0.6504951576391856,0.06456019393705868
outputs\spike\ip_adapter_v2\plus_kalighat_p3_s1337_sc05.png,plus_kalighat_p3_s1337_sc05.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,1337,,0.5,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.5,0.5314391851425171,0.053967610001564026,0.3464052379131317,0.30532342195510864,0.08207506686449051,0.6861237009366353,0.0533138660346529
outputs\spike\ip_adapter_v2\plus_kalighat_p3_s1337_sc07.png,plus_kalighat_p3_s1337_sc07.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,1337,,0.7,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.7,0.47828903794288635,0.058255162090063095,0.27150866389274597,0.4091862440109253,0.10931310802698135,0.6504799763361613,0.05855157510992216
outputs\spike\ip_adapter_v2\plus_kalighat_p3_s42_sc05.png,plus_kalighat_p3_s42_sc05.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,42,,0.5,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.5,0.5691608786582947,0.06059805676341057,0.36836108565330505,0.26261410117149353,0.07562343776226044,0.6893185476462046,0.06468634260759173
outputs\spike\ip_adapter_v2\plus_kalighat_p3_s42_sc07.png,plus_kalighat_p3_s42_sc07.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,kalighat,42,,0.7,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.7,0.38192427158355713,0.05509844049811363,0.19095337390899658,0.5252822637557983,0.13997763395309448,0.6619961520036062,0.062169103771316306
outputs\spike\ip_adapter_v2\plus_madhubani_p1_s1337_sc05.png,plus_madhubani_p1_s1337_sc05.png,v2,stabilityai/stable-diffusion-xl-base-1.0,plus,madhubani,1337,,0.5,,v2 | stabilityai/stable-diffusion-xl-base-1.0 | plus | IP=0.5,0.5601666569709778,0.045394960790872574,0.30357882380485535,0.0854586511850357,0.05087842047214508,0.7829316596190135,0.04127316013212816
