path,filename,spike,model,variant,tradition,seed,lora_scale,ip_scale,cn_scale,config_str,clip_image_mean,clip_image_std,clip_text_sim,dinov2_style_mean,dinov2_style_std,lpips_mean,lpips_std
outputs\flux_comparison\_lora_diagnostic\diag_1024_scale03.png,diag_1024_scale03.png,flux,sdxl,,,,,,,flux,0.44337698817253113,0.03449222445487976,0.2599491477012634,,,0.634048510591189,0.08648666553486224
outputs\flux_comparison\_lora_diagnostic\diag_1024_scale05.png,diag_1024_scale05.png,flux,sdxl,,,,,,,flux,0.5242870450019836,0.05230210721492767,0.34765738248825073,,,0.639524765809377,0.07985680205766281
outputs\flux_comparison\_lora_diagnostic\diag_512_scale05.png,diag_512_scale05.png,flux,sdxl,,,,,,,flux,0.5242870450019836,0.05230210721492767,0.34765738248825073,,,0.639524765809377,0.07985680205766281
outputs\flux_comparison\_lora_diagnostic\diag_512_scale10.png,diag_512_scale10.png,flux,sdxl,,,,,,,flux,0.5071550011634827,0.06105797365307808,0.3594420254230499,,,0.6985502401987712,0.04426270626314349
outputs\flux_comparison\flux_baseline_p1_s1337.png,flux_baseline_p1_s1337.png,flux,sdxl,,,1337.0,,,,flux,0.5117970705032349,0.04469757527112961,0.2462817281484604,,,0.614682580033938,0.10453424414584823
outputs\flux_comparison\flux_baseline_p1_s42.png,flux_baseline_p1_s42.png,flux,sdxl,,,42.0,,,,flux,0.4741321802139282,0.042333733290433884,0.27754032611846924,,,0.6237362444400787,0.09805710227619166
outputs\flux_comparison\flux_baseline_p2_s1337.png,flux_baseline_p2_s1337.png,flux,sdxl,,,1337.0,,,,flux,0.5523271560668945,0.05413335561752319,0.263049453496933,,,0.5899661660194397,0.10424115999543304
outputs\flux_comparison\flux_baseline_p2_s42.png,flux_baseline_p2_s42.png,flux,sdxl,,,42.0,,,,flux,0.5937746167182922,0.05138642340898514,0.29645875096321106,,,0.6208411067724228,0.08953886326103942
outputs\flux_comparison\flux_baseline_p3_s1337.png,flux_baseline_p3_s1337.png,flux,sdxl,,,1337.0,,,,flux,0.49394315481185913,0.045346155762672424,0.2758252024650574,,,0.6949211776256561,0.07388215132482889
outputs\flux_comparison\flux_baseline_p3_s42.png,flux_baseline_p3_s42.png,flux,sdxl,,,42.0,,,,flux,0.5755619406700134,0.05046672374010086,0.30228108167648315,,,0.7619406004746755,0.0451783897909085
outputs\flux_comparison\flux_lora_p1_s1337.png,flux_lora_p1_s1337.png,flux,flux,lora,,1337.0,0.5,,,flux | flux | lora | L=0.5,0.5469490885734558,0.05069106072187424,0.2875800132751465,,,0.6148602535327276,0.09743507824624315
outputs\flux_comparison\flux_lora_p1_s42.png,flux_lora_p1_s42.png,flux,flux,lora,,42.0,0.5,,,flux | flux | lora | L=0.5,0.47338375449180603,0.043384503573179245,0.28014829754829407,,,0.6298181305329005,0.08133362524098815
outputs\flux_comparison\flux_lora_p2_s1337.png,flux_lora_p2_s1337.png,flux,flux,lora,,1337.0,0.5,,,flux | flux | lora | L=0.5,0.46780508756637573,0.043143242597579956,0.3017585277557373,,,0.633303964138031,0.06638558532902376
outputs\flux_comparison\flux_lora_p2_s42.png,flux_lora_p2_s42.png,flux,flux,lora,,42.0,0.5,,,flux | flux | lora | L=0.5,0.5984593033790588,0.05452986806631088,0.33088430762290955,,,0.6389867762724558,0.06347662156270786
outputs\flux_comparison\flux_lora_p3_s1337.png,flux_lora_p3_s1337.png,flux,flux,lora,,1337.0,0.5,,,flux | flux | lora | L=0.5,0.5067228674888611,0.04858873039484024,0.3074464499950409,,,0.7406906565030416,0.05749904299564654
outputs\flux_comparison\flux_lora_p3_s42.png,flux_lora_p3_s42.png,flux,flux,lora,,42.0,0.5,,,flux | flux | lora | L=0.5,0.5735752582550049,0.054681506007909775,0.32740482687950134,,,0.7298473397890727,0.05777208983487128
