filename,backbone,condition,prompt_key,seed,session1_text_legibility,session1_packaging_plausibility,session1_visual_quality,session1_date,session2_text_legibility,session2_packaging_plausibility,session2_visual_quality,session2_date,failure_mode,notes,lora_scale
flux_baseline_p1_s1337.png,flux,baseline,p1,1337,2,2,2,10-06-2026,2,2,2,15-06-2026,,,0
flux_baseline_p1_s42.png,flux,baseline,p1,42,2,2,2,10-06-2026,2,2,2,15-06-2026,,,0
flux_baseline_p2_s1337.png,flux,baseline,p2,1337,2,2,2,10-06-2026,2,2,2,15-06-2026,,,0
flux_baseline_p2_s42.png,flux,baseline,p2,42,2,2,2,10-06-2026,2,2,2,15-06-2026,,,0
flux_baseline_p3_s1337.png,flux,baseline,p3,1337,2,2,3,10-06-2026,2,2,2,15-06-2026,,,0
flux_baseline_p3_s42.png,flux,baseline,p3,42,2,2,2,10-06-2026,2,2,2,15-06-2026,,,0
flux_lora_p1_s1337.png,flux,lora,p1,1337,2,3,2,10-06-2026,2,3,2,15-06-2026,,,0.5
flux_lora_p1_s42.png,flux,lora,p1,42,2,3,2,10-06-2026,2,3,3,15-06-2026,,,0.5
flux_lora_p2_s1337.png,flux,lora,p2,1337,2,3,3,10-06-2026,2,3,3,15-06-2026,,,0.5
flux_lora_p2_s42.png,flux,lora,p2,42,2,2,3,10-06-2026,2,3,3,15-06-2026,,,0.5
flux_lora_p3_s1337.png,flux,lora,p3,1337,2,3,3,10-06-2026,2,3,3,15-06-2026,,,0.5
flux_lora_p3_s42.png,flux,lora,p3,42,2,3,3,10-06-2026,2,3,3,15-06-2026,,,0.5
sdxl_baseline_p1_s1337.png,sdxl,baseline,p1,1337,1,1,1,10-06-2026,1,2,2,15-06-2026,,,0
sdxl_baseline_p1_s42.png,sdxl,baseline,p1,42,0,1,1,10-06-2026,0,1,1,15-06-2026,,,0
sdxl_baseline_p2_s1337.png,sdxl,baseline,p2,1337,1,2,1,10-06-2026,0,1,1,15-06-2026,,,0
sdxl_baseline_p2_s42.png,sdxl,baseline,p2,42,0,1,1,10-06-2026,0,1,1,15-06-2026,,,0
sdxl_baseline_p3_s1337.png,sdxl,baseline,p3,1337,2,1,2,10-06-2026,1,1,2,15-06-2026,,,0
sdxl_baseline_p3_s42.png,sdxl,baseline,p3,42,0,1,1,10-06-2026,0,1,1,15-06-2026,,,0
sdxl_lora_p1_s1337.png,sdxl,lora,p1,1337,1,2,2,10-06-2026,1,2,2,15-06-2026,,,1
sdxl_lora_p1_s42.png,sdxl,lora,p1,42,1,1,1,10-06-2026,1,2,1,15-06-2026,,,1
sdxl_lora_p2_s1337.png,sdxl,lora,p2,1337,1,2,2,10-06-2026,1,2,1,15-06-2026,,,1
sdxl_lora_p2_s42.png,sdxl,lora,p2,42,1,1,1,10-06-2026,2,2,2,15-06-2026,,,1
sdxl_lora_p3_s1337.png,sdxl,lora,p3,1337,1,2,2,10-06-2026,0,0,0,15-06-2026,,,1
sdxl_lora_p3_s42.png,sdxl,lora,p3,42,0,0,0,10-06-2026,1,2,2,15-06-2026,,,1
