filename,variant,tradition,ip_scale,session1_text_legibility,session1_regional_appropriateness,session1_packaging_plausibility,session1_visual_quality,session1_date,session2_text_legibility,session2_regional_appropriateness,session2_packaging_plausibility,session2_visual_quality,session2_date,failure_mode,notes
baseline_p1_s1337.png,baseline,baseline,0,0,1,2,1,01-06-2026,0,0,1,0,03-06-2026,,
baseline_p1_s42.png,baseline,baseline,0,0,0,2,1,01-06-2026,1,1,1,1,03-06-2026,,
baseline_p2_s1337.png,baseline,baseline,0,1,1,2,1,01-06-2026,1,1,1,1,03-06-2026,,
baseline_p2_s42.png,baseline,baseline,0,1,1,2,1,01-06-2026,1,1,1,1,03-06-2026,,
baseline_p3_s1337.png,baseline,baseline,0,0,0,1,1,01-06-2026,0,1,0,0,03-06-2026,,
baseline_p3_s42.png,baseline,baseline,0,0,0,0,0,01-06-2026,0,1,1,0,03-06-2026,,
plus_kalighat_p1_s1337_sc05.png,plus,kalighat,0.5,1,1,1,1,01-06-2026,1,1,1,1,03-06-2026,,
plus_kalighat_p1_s1337_sc07.png,plus,kalighat,0.7,1,0,1,0,01-06-2026,1,1,1,0,03-06-2026,,
plus_kalighat_p1_s42_sc05.png,plus,kalighat,0.5,1,0,1,0,01-06-2026,1,1,1,0,03-06-2026,,
plus_kalighat_p1_s42_sc07.png,plus,kalighat,0.7,0,0,1,0,01-06-2026,1,1,1,0,03-06-2026,,
plus_kalighat_p2_s1337_sc05.png,plus,kalighat,0.5,1,1,1,1,01-06-2026,1,1,1,1,03-06-2026,,
plus_kalighat_p2_s1337_sc07.png,plus,kalighat,0.7,1,0,1,0,01-06-2026,1,1,1,0,03-06-2026,,
plus_kalighat_p2_s42_sc05.png,plus,kalighat,0.5,1,0,1,0,01-06-2026,1,1,1,0,03-06-2026,,
plus_kalighat_p2_s42_sc07.png,plus,kalighat,0.7,1,0,1,0,01-06-2026,1,1,1,0,03-06-2026,,
plus_kalighat_p3_s1337_sc05.png,plus,kalighat,0.5,1,1,1,1,01-06-2026,1,1,1,1,03-06-2026,,
plus_kalighat_p3_s1337_sc07.png,plus,kalighat,0.7,1,0,1,0,01-06-2026,1,1,1,0,03-06-2026,,
plus_kalighat_p3_s42_sc05.png,plus,kalighat,0.5,1,0,1,0,01-06-2026,1,1,1,0,03-06-2026,,
plus_kalighat_p3_s42_sc07.png,plus,kalighat,0.7,0,0,1,0,01-06-2026,0,1,1,0,03-06-2026,,
plus_madhubani_p1_s1337_sc05.png,plus,madhubani,0.5,1,2,2,2,01-06-2026,1,2,2,2,03-06-2026,,
plus_madhubani_p1_s1337_sc07.png,plus,madhubani,0.7,0,2,2,2,01-06-2026,0,2,2,2,03-06-2026,,
plus_madhubani_p1_s42_sc05.png,plus,madhubani,0.5,1,2,2,2,01-06-2026,1,2,2,2,03-06-2026,,
plus_madhubani_p1_s42_sc07.png,plus,madhubani,0.7,0,2,2,2,01-06-2026,0,2,2,2,03-06-2026,,
plus_madhubani_p2_s1337_sc05.png,plus,madhubani,0.5,1,2,2,2,01-06-2026,1,2,2,2,03-06-2026,,
plus_madhubani_p2_s1337_sc07.png,plus,madhubani,0.7,0,2,2,2,01-06-2026,0,2,2,2,03-06-2026,,
plus_madhubani_p2_s42_sc05.png,plus,madhubani,0.5,1,2,2,2,01-06-2026,1,2,2,2,03-06-2026,,
plus_madhubani_p2_s42_sc07.png,plus,madhubani,0.7,0,2,2,2,01-06-2026,0,2,2,2,03-06-2026,,
plus_madhubani_p3_s1337_sc05.png,plus,madhubani,0.5,1,2,2,2,01-06-2026,1,2,2,2,03-06-2026,,
plus_madhubani_p3_s1337_sc07.png,plus,madhubani,0.7,0,2,1,2,01-06-2026,0,2,2,2,03-06-2026,,
plus_madhubani_p3_s42_sc05.png,plus,madhubani,0.5,1,1,2,1,01-06-2026,1,1,2,2,03-06-2026,,
plus_madhubani_p3_s42_sc07.png,plus,madhubani,0.7,1,2,2,2,01-06-2026,1,2,2,2,03-06-2026,,
