filename,condition,tradition,seed,session1_text_legibility,session1_regional_appropriateness,session1_packaging_plausibility,session1_visual_quality,session1_date,session2_text_legibility,session2_regional_appropriateness,session2_packaging_plausibility,session2_visual_quality,session2_date,failure_mode,notes
lora_plus_kalighat_s1337.png,lora_plus,kalighat,1337,1,1,2,1,04-06-2026,1,1,2,1,06-06-2026,,
lora_plus_kalighat_s42.png,lora_plus,kalighat,42,0,1,2,1,04-06-2026,0,1,2,1,06-06-2026,,
lora_plus_madhubani_s1337.png,lora_plus,madhubani,1337,0,2,2,2,04-06-2026,0,2,2,2,06-06-2026,,
lora_plus_madhubani_s42.png,lora_plus,madhubani,42,0,2,2,2,04-06-2026,0,2,2,2,06-06-2026,,
lora_plus_tanjore_s1337.png,lora_plus,tanjore,1337,0,1,0,1,04-06-2026,0,2,0,1,06-06-2026,,
lora_plus_tanjore_s42.png,lora_plus,tanjore,42,0,1,0,1,04-06-2026,0,2,0,1,06-06-2026,,
plus_only_kalighat_s1337.png,plus_only,kalighat,1337,1,1,3,1,04-06-2026,1,1,2,1,06-06-2026,,
plus_only_kalighat_s42.png,plus_only,kalighat,42,1,1,3,1,04-06-2026,1,1,2,1,06-06-2026,,
plus_only_madhubani_s1337.png,plus_only,madhubani,1337,1,2,2,2,04-06-2026,1,2,2,2,06-06-2026,,
plus_only_madhubani_s42.png,plus_only,madhubani,42,1,2,2,2,04-06-2026,1,2,2,2,06-06-2026,,
plus_only_tanjore_s1337.png,plus_only,tanjore,1337,1,1,2,1,04-06-2026,1,2,2,1,06-06-2026,,
plus_only_tanjore_s42.png,plus_only,tanjore,42,0,1,1,1,04-06-2026,0,2,1,1,06-06-2026,,
