filename,tradition,lora_scale,seed,session1_text_legibility,session1_regional_appropriateness,session1_packaging_plausibility,session1_visual_quality,session1_date,session2_text_legibility,session2_regional_appropriateness,session2_packaging_plausibility,session2_visual_quality,session2_date,failure_mode,notes
lora05_kalighat_s1337.png,kalighat,0.5,1337,1,2,2,2,06-06-2026,1,2,2,2,08-06-2026,,
lora05_kalighat_s42.png,kalighat,0.5,42,1,2,2,2,06-06-2026,1,2,3,2,08-06-2026,,
lora05_madhubani_s1337.png,madhubani,0.5,1337,1,3,2,2,06-06-2026,1,3,2,2,08-06-2026,,
lora05_madhubani_s42.png,madhubani,0.5,42,1,3,2,2,06-06-2026,1,3,2,2,08-06-2026,,
lora05_tanjore_s1337.png,tanjore,0.5,1337,1,2,3,2,06-06-2026,1,2,3,2,08-06-2026,,
lora05_tanjore_s42.png,tanjore,0.5,42,1,2,2,2,06-06-2026,1,2,2,2,08-06-2026,,
lora07_kalighat_s1337.png,kalighat,0.7,1337,1,2,2,2,06-06-2026,1,2,2,2,08-06-2026,,
lora07_kalighat_s42.png,kalighat,0.7,42,1,2,2,2,06-06-2026,1,2,3,2,08-06-2026,,
lora07_madhubani_s1337.png,madhubani,0.7,1337,1,3,2,2,06-06-2026,1,3,2,2,08-06-2026,,
lora07_madhubani_s42.png,madhubani,0.7,42,1,3,2,2,06-06-2026,1,3,2,2,08-06-2026,,
lora07_tanjore_s1337.png,tanjore,0.7,1337,1,2,3,2,06-06-2026,1,2,3,2,08-06-2026,,
lora07_tanjore_s42.png,tanjore,0.7,42,1,2,2,2,06-06-2026,1,2,2,2,08-06-2026,,
lora10_kalighat_s1337.png,kalighat,1,1337,1,2,3,2,06-06-2026,1,2,3,2,08-06-2026,,
lora10_kalighat_s42.png,kalighat,1,42,1,2,3,2,06-06-2026,1,2,3,2,08-06-2026,,
lora10_madhubani_s1337.png,madhubani,1,1337,1,2,2,2,06-06-2026,1,2,2,2,08-06-2026,,
lora10_madhubani_s42.png,madhubani,1,42,1,2,2,2,06-06-2026,1,2,2,2,08-06-2026,,
lora10_tanjore_s1337.png,tanjore,1,1337,1,2,3,2,06-06-2026,1,2,3,2,08-06-2026,,
lora10_tanjore_s42.png,tanjore,1,42,1,2,3,2,06-06-2026,1,2,3,2,08-06-2026,,
